date,habit
2024-12-20,"Workout 15m or more"
2024-12-20,"Cold shower 1m or more"
2024-12-20,"Meditation for 5m or more"
2024-12-20,"German for 5m or more"
2024-12-20,"Flashcards for 5m or more"
2024-12-20,"Books for 5m or more"
2024-12-20,"Screens & Social under 1h"
2024-12-20,"Was I kind (4 agreements)?"
2024-12-20,"No addictive products (alcohol or else)"
2024-12-21,"Slept 7h or more"
2024-12-21,"Morning Self-Care & Cleaning routine"
2024-12-21,"Yoga, Stretching or Core 10m or more"
2024-12-21,"Workout 15m or more"
2024-12-21,"Cold shower 1m or more"
2024-12-21,"Meditation for 5m or more"
2024-12-21,"Books for 5m or more"
2024-12-21,"Screens & Social under 1h"
2024-12-21,"Was I kind (4 agreements)?"
2024-12-21,"No addictive products (alcohol or else)"
2024-12-22,"Slept 7h or more"
2024-12-22,"Morning Self-Care & Cleaning routine"
2024-12-22,"Yoga, Stretching or Core 10m or more"
2024-12-22,"Workout 15m or more"
2024-12-22,"Cold shower 1m or more"
2024-12-22,"Meditation for 5m or more"
2024-12-22,"German for 5m or more"
2024-12-22,"Books for 5m or more"
2024-12-22,"Breathwork for 5m or more"
2024-12-22,"Screens & Social under 1h"
2024-12-22,"Was I kind (4 agreements)?"
2024-12-22,"No addictive products (alcohol or else)"
2024-12-22,"Proteins above 150g"
2024-12-22,"Bed time routine (self-care & massage)"
2024-12-23,"Slept 7h or more"
2024-12-23,"Morning Self-Care & Cleaning routine"
2024-12-23,"Workout 15m or more"
2024-12-23,"Cold shower 1m or more"
2024-12-23,"Meditation for 5m or more"
2024-12-23,"German for 5m or more"
2024-12-23,"Was I kind (4 agreements)?"
